providerName,contactInfo,address,region,province,city,remarks,providerCode
RIVER VALLEY EYE CENTER AND SPECIALTY CLINICS INC. ,TEL. #: (02) 8776-7488,"3RD FLOOR MANCORA BLDG. NO.6 GIL FERNANDO AVE. STO. NIÑO, MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,13719
RVPR ORTHOPEDIC AND PHYSICAL THERAPY CLINIC,TEL.#: 7-794-6650; CP: 0917-158-6650; 0917-187-8153; EMAIL: rvprclinic@gmail.com,"#9 KATIPUNAN ST. STO NIÑO, MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,12830
TCLV HEALTHCARE MEDICAL AND DIAGNOSTIC LABORATORY,TEL.#: (02) 8-514-2052 CP#: 0923-0816120 EMAIL: tclv2019@gmail.com,"UNIT B & C 88 LILAC BLDG. #87 LILAC ST. COR. PANORAMA ST. CONCEPCION 2, MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,12831
SPECIALIST CARE DIALYSIS AND DIAGNOSTIC CENTER,Tel: 8-370-4056 CP: 0922-8923689 EMAIL: scddc02@gmail.com,"UNIT 105 GUERDON COMMERCIAL CENTER B-84 L-1 RAINBOW ST., SSS VILLAGE, CONCEPCION DOS MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,11502
ST. IGNATIUS DE LOYOLA HEALTH CARE SERVICES - CONCEPCION,TEL #: 8-942-2475,"688 J.P RIZAL ST., CONCEPCION, MARIKINA CITY, METRO MANILA",NCR,METRO MANILA,MARIKINA,,12558
ST. IGNATIUS DE LOYOLA HEALTH CARE SERVICES - MARIKINA ,Tel.# 8-941-5976; 8-997-5631; 7-933-1645 loc 106; 7-933-7877 Cp#: 0917-819-5719; 0932-843-0250,"253 SHOE AVENUE, STO. NIÑO MARIKINA CITY, METRO MANILA",NCR,METRO MANILA,MARIKINA,,12398
ST. JOHN BIOCARE & DIALYSIS CENTER FOUNDATION INC. - MARIKINA,Tel. #: 8-633-5404,"2/F WRCC BUILDING 33 DRAGON ST. COR. G. FERNANDO AVE. SAN ROQUE, MARKINA CITY",NCR,METRO MANILA,MARIKINA,,11517
THE MEDICAL CITY-SM CITY MARIKINA ,"Tel.#: 8-477-1951, 8-477-1961 CP:0932-853-7607 Email Address: tmcsmmarikina@themedicalcity.com","G/F SM CITY MARIKINA, MARCOS HIGHWAY, CALUMPANG, MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,10849
UNITED EASTERN HEALTH PROFESSIONAL GROUP (UEHPG) INC.,Tel.#: 8-573-1130 Mobile: 0995-880-2369; 0930-361-9223; Email: pmclmarikina_acctg@yahoo.com; premierelab.marikina@yahoo.com,"G/F MANCORA BLDG. NO. 6 MAYOR GIL FERNANDO AVE., MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,11787
"VALLEYMED DIAGNOSTIC AND AMBULATORY SURGICAL CENTER, INC.",Tel.#: 7-576-6622  Mobile: 0917-899-8259; 0919-003-7918 Email: valleymedmultispecialtyclinic@yahoo.com,"UNIT 1-B CITICENTER, J.P. RIZAL COR. PUERTO RICO STREET BRGY. NANGKA, MARIKINA CITY",NCR,METRO MANILA,MARIKINA,,11712
DOCTOR'S ELY PHYSICAL THERAPY CLINIC (FORMERLY: ACTIVE LIFE CHICAGO PHYSICAL THERAPY SERVICES - ALABANG) ,TEL.#: (02)8-772-0719; CP: 0977-2921917; 0947 4226241 (MS .REN #211-1638) Email:  doctorselyphysicaltherapyclinic@gmail.com,"Unit 7 & 8 Ground Floor PBB Corporate Center Finance Street Madrigal Business Park 1 Alabang, Muntinlupa City",NCR,METRO MANILA,MUNTINLUPA,,11849
"ASIA RENAL CARE PHILIPPINES, INC.- ALABANG","Tel.#: 8-772-5310, 8-807-3449; 8-7723283 Fax: 8-772-3283 Mobile: 0917-5927909 Email: Nephrocare.Alabang@fmc-asia.com / mu-mnt.alabang-d01@fmc-asia.com","SPACE # 0031-B LOWER GROUND LEVEL THE SPA BUILDING THEATER DRIVE, ALABANG TOWN CENTER BRGY. AYALA ALABANG MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,11690
CONTOUR REHABILITATION & WELLNESS INCORPORATED,Tel.#: 8-831-7470 CP: 0915-7318406,"3RD FLOOR DON GESU BLDG., DON JESUS BOULEVARD, ALABANG HILLS, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,12474
EPHPHATHA INC. (ACTIVE HEARING CENTER) -FESTIVAL MALL BRANCH,Tel.#: (02) 8-771-2215 M: 0917-972-3505,"SPACE L3-3108 WELLNESS LANE 3/F FESTIVAL MALL SUPERMALL FILINVEST CORPORATE CITY, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,12845
GLOBAL HEALTH INDUSTRIAL CLINIC & LABORATORY CO,Tel.#: 8-862-3212; 0923-7401020,"235 NATIONAL ROAD, BAYANAN, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,12473
"MY HEALTH CLINIC (CAMDEN HEALTH SERVICES, INC.)",TEL.#: 7-215-3983; 7-586-3522 CP: (0917) 625-4216; (0917) 592-036 Email: alabangccr@myhealth.ph,"UPPER GROUND FLOOR, STYLE BOULEVARD FESTIVAL SUPERMALL, ALABANG, MUNTINLUPA CITY 1780",NCR,METRO MANILA,MUNTINLUPA,,10905
HEALTH FIRST ALABANG (HEALTH DELIVERY SYSTEM INC.-ALABANG BRANCH) ,TEL.#: 8-821-1423; M: 0917-842-8214,GROUND FLOOR SOUTH SUPERMARKET ALABANG BLK. 27 FILINVEST AVE. FCC ALABANG MUNTINLUPA CITY,NCR,METRO MANILA,MUNTINLUPA,,12521
HEALTHWAY MEDICAL CLINIC-ALABANG TOWN CENTER,Tel. #: 8-772-3527;7-720-6102; CP:0917-855-5965;0920-967-4820; 0932-855-4329,"2ND FLOOR, ALABANG TOWN CENTER, ALABANG-ZAPOTE ROAD, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,"10505
"
HEALTHWAY MEDICAL CLINIC-FESTIVAL SUPERMALL,"Tel. #: 7-720-6104 CP: 09178558100, 09328528769, 09209671897","LEVEL 2 PIXIE FOREST ENTRANCE, FESTIVAL SUPERMALL FILINVEST CORPORATE CITY, ALABANG, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,10504
"HEMOTEK RENAL CENTER, INC. - FILINVEST",Tel. #: 8-659-3508 M: 0927-713-1697,"FESTIVAL SUPERMALL, 2/F  CORPORATE AVE.  FILINVEST ALABANG ,  MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,11689
HP DIAGNOSTIC PLUS-ALABANG, Tel. No:  8-776-3702 Mobile No: 0917-8713008; 0933-8193867 Mobile No: 0917-8713008 (RT-PCR)   E-mail Address: alabang@hpdplus.com,"UNIT 1, 2, 3 & 4 AA CORPORATE PLAZA, CIVIC DRIVE, FILINVEST CITY, ALABANG, MUNTINLUPA CITY ",NCR,METRO MANILA,MUNTINLUPA,,10950
KOBE CLINIC,"Tel # 8-842-5405, 8-772-1855; CP: 09175771025 Email: kobealabang@yahoo.com; kobeclinic2019@gmail.com","LEVEL 2, 2068/2069 FESTIVAL SUPERMALL, ALABANG, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,"
10522"
MANILA HEARING AID - MUNTINLUPA,TEL: 8-809-3902 CP#: 0926-757-0243,"L3A SERVICE TOWN, ALABANG TOWN CENTER, MUNTINLUPA",NCR,METRO MANILA,MUNTINLUPA,,11873
MD PLUS CLINIC & DIAGNOSTIC CENTER-ALABANG (AKA: HEALTH PORTAL INTERNATIONAL INC.),TEL. #: 8823-1111 M: 0917-143-8231,2F WESTGATE HUB COMMERCE AVE. ALABANG MUNTINLUPA CITY,NCR,METRO MANILA,MUNTINLUPA,,12493
MEDCARE MULTISPECIALTY CLINIC,Tel.#: 8-659-6550; CP: 0922-857-4180," UNIT 110 & 210 BLK. 3 LOT 12 HONORABLE CRUZ. AVE. SOLDIER'S HILL, BRGY. PUTATAN, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,11080
METRO SANITAS CORPORATION - FESTIVAL MALL BRANCH,Tel.#: (02) 8-241-3828 M: 0908-698-8286,2ND FLOOR FESTIVAL MALL ALABANG MUNTINLUPA CITY,NCR,METRO MANILA,MUNTINLUPA,,12846
"METROSOUTH UROLOGY GROUP, INC.","Tel.#: (02) 7-744-3798, CP: 0917-707-0089","GROUND FLOOR, ALABANG MEDICAL CENTER, ALABANG-ZAPOTE ROAD, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,11675
"PROLAB DIAGNOSTIC CENTER – ALABANG, MUNTINLUPA BRANCH","TEL. #.: (02) 8 559-3031, CP: (0977) 751-1250, (0905) 241-4140","252 MONTILLANO ST. LLANAS CENTRAL MALL, ALABANG, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,13821
PROSER HEALTH SERVICES INC. (THE MEDICAL CITY CLINIC-SM MUNTINLUPA),TEL. #: 8-396-9898 LOCAL 6552-6557,"UNIT 230-233 2/F SM CENTER MANILA SOUTH ROAD, TUNASAN, CITY OF MUNTINLUPA",NCR,METRO MANILA,MUNTINLUPA,,14099
TOKYO HEALTHLINK INC. HYDROTHERAPY & WELLNESS CENTER,TEL.#: 8-850-8607 EMAIL: thirehab2018@yahoo.com,"UNIT 101 G/F COMMON GOAL TOWER FINANCE COR. INDUSTRY ST. MADRIGAL BUSINESS PARK, AYALA ALABANG, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,10635
TOKYO HEALTHLINK INC. MEDICAL & DIAGNOSTIC CENTER,TEL.#: 8-772-3315; 8-772-2678; 8-772-2679 FAX: 8-772-3316 CP: 0999-990-1286; 0917-854-6603 (Nurse Station) EMAIL: tokyohealthlink01@yahoo.com.ph,"UNIT R2 EL MOLINO BLDG. MADRIGAL AVE. AYALA ALABANG, MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,"10635
"
VALULIFE MOBILE XRAY & LABORATORY,TEL.#: 8-772-5131 EMAIL: VALULIFELAB@YAHOO.COM,"G/F AURORA BLDG., ALABANG-ZAPOTE RD., MUNTINLUPA CITY",NCR,METRO MANILA,MUNTINLUPA,,"
10565"
RE-LIFE PHYSIOTHERAPY SERVICES,TEL.# : 0927-190-8312 / 0999-187-7491,"UNIT 2-B, HVS BUILDING, 525 M. NAVAL ST., BRGY. BANGKULASI, NAVOTAS CITY",NCR,METRO MANILA,NAVOTAS,,13065
"COMMCARE, INC.-BETTER LIVING","TEL.#:  8821-4276; 8829-6049, 8829-6046","162 DOÑA SOLEDAD AVE., BETTER LIVING, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,"
10464
"
"COMMCARE, INC.-MERVILLE",TEL.#: 8-828-6046/ 69 EMAIL: commcare_inc.@yahoo.com,"45 MONTCLAIRE ST., MERVILLE PARK SUBDIVISION, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,"
10466"
COREXPERT PHYSICAL THERAPY CENTER,TEL. #: 8-771-2792 CP: 0998-317-6763 EMAIL: corexpert.ph@gmail.com; corexpert.pt@gmail.com,"32 EL GRANDE AVE., BF HOMES PARAÑAQUE CITY, METRO MANILA",NCR,METRO MANILA,PARAÑAQUE,,12530
COREXPERT PHYSICAL THERAPY CENTER  - BETTER LIVING,TEL. #: 8-429-7658 CP: (0916) 428-7218 ,"UNIT A 2F 48 RUSSIA ST.  COR. ROMANIA ST. BETTER LIVING SUBD. DON BOSCO 1700, PARAÑAQUE CITY  ",NCR,METRO MANILA,PARAÑAQUE,,13700
GLOBAL HEALTH DIAGNOSTICS,TEL.#: 88259964,3/F LMB BLDG. #158 SAN ANTONIO AVE. SAN ANTONIO VALLEY I PARAÑAQUE CITY,NCR,METRO MANILA,PARAÑAQUE,,14098
HEALTHWORLD CLINICS (CONSULTATIONS ONLY),"TEL.#: 8-829-0175, FAX: 8-826-6770 EMAIL: mdservices@healthworldintl.com; medical@healthworldintl.com; clinicacctg@healthworldintl.com","421 QUIRINO AVE., LA HUERTA, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,"
10102"
HEALTHWORLD MEDICAL SPECIALIST CLINICS,Tel.#: 7-502-6899 CP: 09178327368  Email: mdservices@healthworldintl.com,"5/F  BERMA CENTER, REDEMPTORIST ROAD, BACLARAN, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,10102
"HEMOTEK RENAL CENTER, INC. -SUCAT BRANCH",Tel: 8-696-3977; 8-518-3863 M: 0995-928-4450,"Park & Shop, 8300 Dr. A. Santos Avenue corner Sta. Rita Street, BF Sucat , Parañaque City, Metro Manila    ",NCR,METRO MANILA,PARAÑAQUE,,12642
HI-PRECISION DIAGNOSTIC PLUS-BF HOMES (HI-PRECISION DIAGNOSTICS), Tel. No:    8-834-1295/ 8-834-1289; Mobile No:  0933-8193865/ and  0917-804-4728;  E-mail Address:  hpdbf@hi-precision.com.ph ,"#64 AGUIRRE AVE., BF HOMES, SUCAT, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11641
HPD CLINICAL LABORATORIES INC. – SUCAT (HI-PRECISION DIAGNOSTICS-SUCAT), TEL. #: 8553-1077; 8741-7777 CP.#: 0907-4849261,"UNIT A-4B  JAKA PLAZA MALL, DR. A. SANTOS AVE. SUCAT, PARANAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,10920
"INTER-INDUSTRIAL PHYSICIAN MEDICAL SERVICES, INC.",Tel.#: 8-825-4117; 8-5462355 CP:  09173217401 EMAIL: itmsidolly@gmail.com,"NUESTRA SEÑORA DELA PAZ ST., SAN ANTONIO VALLEY 1, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,10159
"LA MADRID POLYCLINIC AND DIAGNOSTIC, INC.",Tel.# 8-804-2761 CP: 09437078469; 0917-1592945 Email: lpadidoctors@yahoo.com,"119-A QUIRINO AVENUE, BACLARAN, PARAÑAQUE",NCR,METRO MANILA,PARAÑAQUE,,11425
MEDICUS DIAGNOSTICS CENTER- PARANAQUE BRANCH (ASYS: LEALMEDS PHARMACEUTICAL INC. ),CP.#:  0917-5255325,"UNIT F, BPI BLDG. DONA SOLEDAD AVE., BETTERLIVING SUBDIVISION, BRGY. DON BOSCO, PARANAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,13061
"MEDSURG, INC. ",TEL.#: 8893-4357 M: 0917-878-2020 EMAIL: medsurgeyecenter@gmail.com,"L1 B29 3RD FLOOR AGUIRRE AVE. BF HOMES, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,12873
NEW WORLD DIAGNOSTICS INC. (PARAÑAQUE BRANCH) ,TEL.#: 8790-8888 LOC. 610 EMAIL: PARANAQUE@NWDI.COM.PH,"#35 PRESIDENTS AVE., BF HOMES, PARANAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,14022
PRIMA MEDICA,Tel.#: 8-829-6611; Telefax: 8-829-6428 MOBILE: 0915-4072196; 0908-8853146 Email: pmhc2006@yahoo.com,3/F BLDG. B. SM SUCAT DR. A. SANTOS AVE. PARAÑAQUE CITY,NCR,METRO MANILA,PARAÑAQUE,,10683
"PRIME CARE MULTI-SPECIALTY HEALTH SYSTEMS, INC.",Tel.#: 8-822-9138 to 39 loc. 105; Fax: 8-822-9107,"UNIT B 027, LOWER GROUND LEVEL, BUILDING B, SM CITY BICUTAN, DONA SOLEDAD AVENUE, BICUTAN, PARANAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,10276
RGO LABORATORY & INDUSTRIAL DIAGNOSTIC CENTER INC.,CP.#: 0920-2868924,"UNIT 2E & 2F AIRPORT GLOBAL PLAZA NAIA RD. BRGY. TAMBO, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,12949
"SAN ANTONIO VALLEYMED DIAGNOSTIC AND MEDICAL CENTER, INC.",Tel #: 8-833-3927; Cp: 0905-502-8633,"I FATIMA ST. COR. SAN ANTONIO AVE., FIN-ASIA HOMES, SAN ANTONIO VALLEY 1, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11842
SOUTH JLA DIAGNOSTICS INC.,CP.#: 0933-8142081; 0917 8992081,1 FATIMA STREET FIN ASIA HOME SAN ANTONIO VALLEY 1 SUCAT PARAÑAQUE CITY,NCR,METRO MANILA,PARAÑAQUE,,12972
"SSMCHEALTH INC. (SOUTH SUPERHIGHWAY MEDICAL CENTER-SATELLITE HOSPITAL)
",Tel.#: (02)8- 816-0205; CP: 0916-7041039 ,"G/F CROSSWINDS HOTEL BLDG. AIRPORT, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,12634
STO. DOMINGO DIAGNOSTIC AND MEDICAL CENTER- PARAÑAQUE,Tel.#: 8-851-1992; CP: 0933-115-3303 Email: sto.domingo.baclaran@gmail.com,"3104 REDEMPTORIST RD., BACLARAN, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11461
THE MEDICAL CITY - SM SUCAT,Tel.#: 8-553-5661; 7-576-5220 CP: (0961) 120-6884(text only) Email: tmcsmsucat@themedicalcity.com,"3/F BLDG. A, SM CITY SUCAT, DR. A. SANTOS AVE., PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11394
THE MEDICAL CITY - WALTERMART BICUTAN,Tel.#: 8-887-5600; 8-893-2027; Email: tmcwaltermartbicutan@themedicalcity.com,"G/F WALTERMART BICUTAN, KM.16 AVE. COR. EAST RD., PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11395
THE PREMIER DIALYSIS CENTER INC.,TEL. #: 8865-2200 Local 417 CP: 0917-163-8103(VIBER) EMAIL: premierdialysis2018@gmail.com,"AMVEL BUSINESS PARK, BRGY. SAN DIONISIO, PARANAQUE CITY, METRO MANILA",NCR,METRO MANILA,PARAÑAQUE,,12903
URESTORE INC.,CP: (0917)139-6230,"SPACE 5042 5TH FLOOR AYALA MALLS MANILA BAY TAMBO, PARANAQUE CITY, METRO MANILA",NCR,METRO MANILA,PARAÑAQUE,,13585
URESTORE PHYSICAL THERAPY & REHABILITATION CLINIC,TEL.#: 8832-8606 MOBILE NO.:(0920) 254 1352,"005 (B) SM CITY BICUTAN, BRGY. DON BOSCO, PARAÑAQUE CITY",NCR,METRO MANILA,PARAÑAQUE,,11392
BEST DIAGNOSTIC CORPORATION-PASAY,CP: 0908-8883305; Email: bestpasay@yahoo.com ,"MANLUNAS COR. P3-08 ST. VILLAMOR AIRBASE, PASAY CITY",NCR,METRO MANILA,PASAY,,11507
BOROUGH MEDICAL CARE INSTITUTE-PASAY,"TEL #: 8- 556-0557 to 60 Mobile: 0917-553-5612; Email: marketing.mac@boroughmedical.org; moa.clinic@boroughmedical.org
moa.marketing@boroughmedical.org","2/F WELLNESS ZONE, NORTH PARKING BLDG., NORTH WING NEAR CYBER ZONE, J.W. DIOKNO BLVD., MALL ASIA COMPLEX, PASAY CITY",NCR,METRO MANILA,PASAY,,10934
CENTRALLE MEDICAL DIAGNOSTICS AND POLYCLINIC INC., TEL.#: (02) 8-877-0085 TELEFAX: 8-877-0436 CP: 0932-9813-299 EMAIL: pasaycmdp@yahoo.com,"4TH FLOOR, WELLCOME PLAZA TAFT AVE., COR. LIBERTAD ST., BRGY. 93 PASAY CITY",NCR,METRO MANILA,PASAY,,11586
"EVERGREEN MEDICAL & DIAGNOSTIC CENTER, INC.",TEL.#: 8646-3734 CP: 0919-073-7139 EMAIL: evergreenmdc@gmail.com,"J&B BLDG., 641 EDSA MALIBAY, PASAY CITY",NCR,METRO MANILA,PASAY,,11331
"HEALTH METRICS, INC. -MALL ASIA",Tel.# (02) 8-805-8032 LOC. 100-108 CP: 0917-6547075;     Email: jebuenga@healthmetrics.com.ph; hmi.moa.registration@healthmetrics.com.ph,"4F PRISM PLAZA TWO E-COM CENTER MOA COMPLEX BRGY. 76, PASAY CITY",NCR,METRO MANILA,PASAY,,11833
HEALTH TRENDS MEDICAL CLINICS & DIAGNOSTIC CENTER,TEL. #: 8-556-1270 CP: 0945-115-0394 EMAIL: info@healthtrendsclinic.com,"LIFESTYLE SECTION, HOBBIES ASIA, NO. 8, PRESIDENT DIOSDADO MACAPAGAL AVENUE, PASAY CITY",NCR,METRO MANILA,PASAY,,11224
HI-PRECISION DIAGNOSTIC CENTER INC -MALL OF ASIA BRANCH,TEL.#:: 02-8441-6206 CP.: (0968) 860-2625; (0917) 708-1412 ,"UNIT 114 GROUND FLOOR MALL OF ASIA ARENA ANNEX BLDG. CORAL WAY COR J.W DIOKNO BLVD. MALL OF ASIA COMPLEX, BRGY. 76 ZONE 10 1300 PASAY CITY",NCR,METRO MANILA,PASAY,,13701
LAKAMBINI DIAGNOSTIC CENTER,TEL.#: 8-400-6266 CP: 0917-808-9963 EMAIL: records@lakambinidiagnostic.com; complianceofficer@lakambinidiagnostic.com,"1991 UNIT E & F WARDLEY BLDG., TAFT AVE., PASAY CITY",NCR,METRO MANILA,PASAY,,"
10622"
MANILA HEARING AID - MOA,TEL: 8-556-0589 CP#: 0999-557-4572,"2/F WZ 229 NORTH PARKING BLDG., SM MALL ASIA SM CENTRAL BUSINESS PARK BAY CITY PASAY CITY",NCR,METRO MANILA,PASAY,,11875
MARILAO MEDICAL & DIAGNOSTIC CLINIC INC.-PASAY BRANCH,MOBILE:09311187157,"ANTONIO ARNARIZ COR. FB HARISSON ST. PASAY CITY, METRO MANILA",NCR,METRO MANILA,PASAY,,13042
ONE HEALTH MEDICAL SERVICES INC.,TEL. #: 8938-6680 CP: 0917-704-6205; 0966-561-7639 EMAIL: medical.ohm2012@gmail.com,"OHM BLDG. ANDREWS AVE., MIAA ZONE, PASAY CITY",NCR,METRO MANILA,PASAY,,12568
PEAKFORMBIOPLIS INC.,Tel. #: 8-252-2192 M: 0977-463-7819,UNIT 101 G/F BIOPOLIS BLDG. D. MACAPAGAL AVE. CBP 1A BRGY. 076 PASAY CITY,NCR,METRO MANILA,PASAY,,12855
THE MEDICAL CITY CLINIC @ SM MALL ASIA,"Tel.#: (02) 8-865-6948, 8-877-0148; Email: tmcsmmoa@themedicalcity.com","2ND FLOOR SM MALL ASIA, PASAY CITY",NCR,METRO MANILA,PASAY,,11580
URESTORE PHYSICAL THERAPY & REHABILITATION CLINIC-PASAY,CP: 09171549950,"WZ 213, WELLNESS ZONE, NORTH PARKING BLDG. SM MALL ASIA, PASAY CITY",NCR,METRO MANILA,PASAY,,11534
URESTORE PHYSICAL THERAPY & REHABILITATION CLINIC-E-COM BRANCH,MOBILE: SMART(09205671318) GLOBE(09171607887),"4TH FLOOR, FIVE E-COM CENTER, MALL ASIA COMPLEX, BRGY. 76, PASAY CITY",NCR,METRO MANILA,PASAY,,"11806
"
J2 HEALTH  DIAGNOSTICS CORP. (A.K.A ACCUDETEK HEALTH DIAGNOSTICS),"TEL.# (02) 7978-8659, CP: (0917) 323-8391 EMAIL: accudetekdiagnosticsfrontdesk@gmail.com, accudetek.clarizze@gmail.com","13 SG 2A M. H. DEL PILAR ST. SAN NICOLAS, PASIG CITY",NCR,METRO MANILA,PASIG,,13229
"ARDI HEALTH SERVICES, INC.- MALINAO (FORMERLY: DR. PABLO C. ALFONSO, SR. MEMORIAL CLINIC - MALINAO)",TEL.#: 7719-2213; 7719-2218TELEFAX: 628-3316 CP: 0917-883-8268; 0932-602-2900 EMAIL: alfonsoclinic@yahoo.com,"157 R. JABSON ST., MALINAO, PASIG CITY",NCR,METRO MANILA,PASIG,,10414
"ARDI HEALTH SERVICES, INC.- SAN MIGUEL (FORMERLY: DR. PABLO C. ALFONSO, SR. MEMORIAL CLINIC - SAN MIGUEL)","Tel.#: 8-628-4097, 8-640-3679; Fax: 8-643-4954 CP: 09228456373, 09176800453","248 MERCEDES COR. M. SUAREZ ST., SAN MIGUEL, PASIG CITY",NCR,METRO MANILA,PASIG,,10414
"CENTER FOR HEALTH SERVICES, INC.-PASIG",TEL.#: 8-637-0562 TO 63 CP: 0917 702 4702 EMAIL: info@chsiphil.net ,"19TH FLOOR, JMT BUILDING, 27 ADB AVENUE, ORTIGAS, PASIG CITY ",NCR,METRO MANILA,PASIG,,10706
CLINICA MANILA PASIG,TEL.#: 8-696-7055 TO 57 CP: 0917-846-8856; 0917-846-2268 EMAIL: cmpasig.info@gmail.com; cmpasig.mktg@gmail.com,"UNIT 158 SM CENTER PASIG, FRONTERA VERDE C-5, BRGY. UGONG, PASIG CITY",NCR,METRO MANILA,PASIG,,11037
DOCTOR'S ALLEY MEDICAL & DIAGNOSTIC CENTER,TEL.# 8-647-5250 CP: 09178955250 EMAIL: doctorsalley@gmail.com,3/F ROBINSON'S PLACE METRO EAST MARCOS HIGHWAY DELA PAZ PASIG CITY,NCR,METRO MANILA,PASIG,,"10770
"
HEALTH CONNECTION MEDICAL CLINIC,"TEL.# 8-682-5739, 8-647-6477 CP: 09228441190 EMAIL: avie.rivo@gmail.com","BOBI PLAZA FELIX AVE. PASIG CAINTA BOUNDERY, MANGGAHAN, PASIG CITY (NEAR BUENAS MARKET)",NCR,METRO MANILA,PASIG,,10734
"HEALTH GALLERY, INC.",Tel.#: 8-638-2432 CP: 0927-227-4735; 0922-80-20-785; EMAIL: healthgallery@yahoo.com,"UNIT 803 MEDICAL PLAZA BLDG. SAN MIGUEL AVE. ORTIGAS CENTER, PASIG CITY",NCR,METRO MANILA,PASIG,,10496
HEALTHLOCK MEDICAL DENTAL DIAGNOSTIC SERVICES - SAN JOAQUIN,Tel.#: 7-507-9791 CP: 0926-639-7967 ,"NO. 187 TRIPLE K. BLDG. M. CONCEPCION ST., SAN JOAQUIN, PASIG CITY",NCR,METRO MANILA,PASIG,,12806
"HEMOTEK RENAL CENTER, INC. - ROBINSONS METROEAST",Tel: (02) 8-571-6386 / 0927-7131692,"3RD LEVEL, BODY SENSES AREA, ROBINSON METRO EAST, DELA PAZ, PASIG CITY",NCR,METRO MANILA,PASIG,,11321
"HEMOTEK RENAL CENTER, INC. - SHAW",Tel: (02) 8-696-3976; 8-696-3977 / 0916-3863389 EMAIL: hemotekshaw@yahoo.com,"0027 Shaw Blvd.  Corner  St. Jose Maria Escriva Drive, San Antonio, Dist.1, Pasig City, Metro Manila",NCR,METRO MANILA,PASIG,,11562
"HI-PRECISION DIAGNOSTICS-ORTIGAS (SUNRISE MEDICAL LAB, INC. – ORTIGAS)", Tel. No:   8-633-7931;  Telefax No: 8-727-0506;  Mobile No:  0943-1351865 / 09177088948  Mobile No:09178325794 (RT-PCR);  E-mail Address:  hportigas@hi-precision.com.ph precision.com.ph   ,UNIT G20-G23 ORTIGAS TECHNOPOINT BLDG ONE DOÑA JULIA VARGAS AVE. UGONG PASIG CITY,NCR,METRO MANILA,PASIG,,11760
HI-PRECISION DIGNOSTICS-PASIG,Tel. No:  (02) 8-628-3277  Mobile No: 0933-8193850/ 0917-848-1407; E-mail Address: hppasig@hi-precision.com.ph,"UNIT 102 & 202 ARMAL BLDG. COMPOUND  F. LEGASPI ST. COR. C. RAYMUNDO AVE., MAYBUNGA, PASIG CITY",NCR,METRO MANILA,PASIG,,11203
HI-PRECISION DIAGNOSTICS-PIONEER, Mobile No:09338193859/ 09176594671;  E-mail Address: hppioneer@hi-precision.com.ph,"8006 PIONEER CENTER COR. UNITED AND BRIXTON ST. BRGY. KAPITOLYO, PASIG CITY",NCR,METRO MANILA,PASIG,,11352
"HMC, INC. (HEALTHWAY MEDICAL-ESTANCIA BRANCH)",Tel: 7720-6106 LOC. 6101-6105,"UNIT 4-L 32D ESTANCIA MALL CAPITOL COMMONS MERALCO AVE., ORANBO, PASIG CITY, 1600 ",NCR,METRO MANILA,PASIG,,13855
